,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Sentiment_Scores,Predicted_lables
37,@EpochTimes I would take vegetables to the starving Chinese of Wuhan.  If I had a passport. Maybe through donation to Hong Kong Christian charity. Peas &amp; carrots &amp; a book of John.,"[('epochtim', 'NN'), ('would', 'MD'), ('take', 'VB'), ('veget', 'NN'), ('starv', 'JJ'), ('chines', 'NNS'), ('wuhan', 'WP'), ('passport', 'VBP'), ('mayb', 'NNS'), ('donat', 'VB'), ('hong', 'RB'), ('kong', 'JJ'), ('christian', 'JJ'), ('chariti', 'NN'), ('pea', 'NN'), ('carrot', 'NN'), ('book', 'NN'), ('john', 'NN')]",epochtim would take veget starv chine wuhan passport mayb donat hong kong christian chariti pea carrot book john,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
38,Wtf why we not doing this inna city \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 hella bootc,"[('inna', 'NN'), ('citi', 'VBZ'), ('hella', 'NN'), ('bootc', 'NN')]",inna citi hella bootc,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
39,Can you safely recycle N95 face masks? @LACoSheriff says his department is doing just that. And he shares who created cloth masks for 1000\xe2\x80\x99s of inmates? Next at 11p @NBCLA #COVID19 https://t.co/252iXqs3z3,"[('safe', 'JJ'), ('recycl', 'NN'), ('face', 'NN'), ('mask', 'NN'), ('lacosheriff', 'JJ'), ('say', 'VBP'), ('depart', 'JJ'), ('share', 'NN'), ('creat', 'NN'), ('cloth', 'NN'), ('mask', 'NN'), ('inmat', 'NN'), ('next', 'JJ'), ('nbcla', 'NN'), ('covid', 'NN'), ('http', 'NN'), ('ixq', 'NN')]",safe recycl face mask lacosheriff say depart share creat cloth mask inmat next nbcla covid http ixq,"{'polarity': 0.25, 'subjectivity': 0.25}",Positive
40,Maybe we really are in a post fact world when the US media is largely silent about Joe Biden's very rare public app\xe2\x80\xa6 https://t.co/dTEMCpFGBX,"[('mayb', 'NN'), ('realli', 'VBZ'), ('post', 'VBN'), ('fact', 'NN'), ('world', 'NN'), ('media', 'NNS'), ('larg', 'VBP'), ('silent', 'JJ'), ('biden', 'NN'), ('rare', 'JJ'), ('public', 'JJ'), ('http', 'NN'), ('dtemcpfgbx', 'NN')]",mayb realli post fact world medium larg silent biden rare public http dtemcpfgbx,"{'polarity': 0.09999999999999999, 'subjectivity': 0.35555555555555557}",Positive
41,Yes we are finally all cats ox and dogs,"[('final', 'JJ'), ('cat', 'NN'), ('dog', 'NN')]",final cat dog,"{'polarity': 0.0, 'subjectivity': 1.0}",Neutral
42,W.T.A.F.\xe2\x9d\x97\xef\xb8\x8f https://t.co/MyeSWm3QEn,"[('http', 'NN'), ('myeswm', 'NN')]",http myeswm,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
43,Thousands of Bay Area residents will be tested for the coronavirus in UCSF- Stanford studies https://t.co/WmzTk07o7U,"[('thousand', 'CD'), ('area', 'NN'), ('resid', 'NN'), ('test', 'NN'), ('coronaviru', 'NN'), ('ucsf', 'JJ'), ('stanford', 'NN'), ('studi', 'NN'), ('http', 'NN'), ('wmztk', 'NN')]",thousand area resid test coronaviru ucsf stanford studi http wmztk,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
44,#NOW: Santa Clara County Health officials say there are now 20 confirmed cases of #coronavirus #ktvu,"[('santa', 'NN'), ('clara', 'NN'), ('counti', 'VBP'), ('health', 'NN'), ('offici', 'NN'), ('confirm', 'NN'), ('case', 'NN'), ('coronaviru', 'NN'), ('ktvu', 'NN')]",santa clara counti health offici confirm case coronaviru ktvu,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
45,why did Millie off the Melatonin not make the cut\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/GgQCBwFJD9,"[('milli', 'NN'), ('melatonin', 'NNS'), ('make', 'VBP'), ('http', 'NN'), ('ggqcbwfjd', 'NN')]",milli melatonin make http ggqcbwfjd,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
46,I\xe2\x80\x99m so glad all of these restaurants are now requiring employees to wash their hands... #COVID19,"[('glad', 'JJ'), ('restaur', 'NN'), ('requir', 'NN'), ('employe', 'NN'), ('wash', 'NN'), ('hand', 'NN'), ('covid', 'NN')]",glad restaur requir employe wash hand covid,"{'polarity': 0.5, 'subjectivity': 1.0}",Positive
